,hotel_name,average_score,url
0,"
Tower Suites by Blue Orchid
","
9.1
",/hotel/gb/tower-suites-by-blue-orchid-london.en-gb.html
1,"
Clayton Hotel City of London
","
9
",/hotel/gb/clayton-city-of-london.en-gb.html
2,"
Camden Enterprise Hotel
","
9
",/hotel/gb/camden-enterprise.en-gb.html
3,"
Novotel London Canary Wharf
","
9
",/hotel/gb/novotel-london-canary-wharf.en-gb.html
4,"
citizenM London Shoreditch
","
9
",/hotel/gb/citizenm-london-shoreditch.en-gb.html
5,"
citizenM Tower of London
","
9.1
",/hotel/gb/citizenm-tower-of-london-london.en-gb.html
6,"
Intercontinental London - The O2
","
9.3
",/hotel/gb/intercontinental-london-the-02-arena.en-gb.html
7,"
Hilton London Bankside
","
9.1
",/hotel/gb/hilton-london-bankside.en-gb.html
8,"
Motel One London-Tower Hill
","
9
",/hotel/gb/motel-one-london-tower-hill.en-gb.html
9,"
Sea Containers London
","
9
",/hotel/gb/mondrian-london.en-gb.html
10,"
Holiday Inn Express Moscow - Baumanskaya
","
9.3
",/hotel/ru/holiday-inn-express-moscow-baumanskaya.en-gb.html
11,"
Radisson Blu Olympiyskiy Hotel
","
9.2
",/hotel/ru/radisson-blu-olympiyskiy-moscow.en-gb.html
12,"
Pentahotel Moscow, Arbat
","
9
",/hotel/ru/pentahotel-moscow-arbat-moskva.en-gb.html
13,"
Barin Residence Balchug
","
9.2
",/hotel/ru/barin-residence-balchug-moskva.en-gb.html
14,"
Centeral Hotel Moscow
","
9.3
",/hotel/ru/centeral.en-gb.html
15,"
WineWood Moscow
","
9.3
",/hotel/ru/rombix-lounge.en-gb.html
16,"
Pokrovskiy Dom
","
9
",/hotel/ru/pokrovskii-dom.en-gb.html
17,"
Pokrovka 6 Hotel
","
9.7
",/hotel/ru/pokrovka-6.en-gb.html
18,"
Hyatt Regency Moscow Petrovsky Park
","
9.1
",/hotel/ru/hyatt-regency-moscow-petrovsky-park.en-gb.html
19,"
Boutique Hotel Wellion Baumansky
","
9
",/hotel/ru/boutique-baumanskiy.en-gb.html
20,"
La Planque Hotel
","
9
",/hotel/fr/la-planque-paris.en-gb.html
21,"
Jardins de Mademoiselle Hôtel & Spa
","
9
",/hotel/fr/les-jardins-de-mademoiselle-paris.en-gb.html
22,"
Motel One Paris-Porte Dorée
","
9
",/hotel/fr/motel-one-paris-porte-doree.en-gb.html
23,"
Hôtel La Nouvelle République
","
9
",/hotel/fr/la-nouvelle-republique.en-gb.html
24,"
Select Hotel
","
9
",/hotel/fr/select-paris.en-gb.html
25,"
Le Grand Quartier
","
9.1
",/hotel/fr/le-grand-quartier.en-gb.html
26,"
Hôtel Le Ballu
","
9.3
",/hotel/fr/le-ballu.en-gb.html
27,"
Tinah Paris
","
9
",/hotel/fr/tinah.en-gb.html
28,"
Hôtel Parisianer
","
9
",/hotel/fr/parisianer.en-gb.html
29,"
Les Jardins du Faubourg Hotel & Spa by Shiseido
","
9.1
",/hotel/fr/les-jardins-du-faubourg.en-gb.html
30,"
Margarita Hotel
","
9.1
",/hotel/ru/margarita-sankt-peterburg.en-gb.html
31,"
VOX Hotel
","
9.1
",/hotel/ru/ligovskii-29.en-gb.html
32,"
BAGRATION Hotel
","
9.1
",/hotel/ru/bagration-3.en-gb.html
33,"
Nevskiy Eclectic by AKYAN
","
9.3
",/hotel/ru/akyan-nevskiy.en-gb.html
34,"
Kentron Boutique Hotel
","
9
",/hotel/ru/kentron-boutique.en-gb.html
35,"
Holiday Inn Express - St. Petersburg - Sadovaya
","
9.3
",/hotel/ru/holiday-inn-express-st-petersburg-sadovaya.en-gb.html
36,"
Hotel Liga
","
9.3
",/hotel/ru/otiel-quot-ligha-quot.en-gb.html
37,"
Lahta Plaza Hotel
","
9.6
",/hotel/ru/lahta-plaza-hotel.en-gb.html
38,"
Docklands Apart Hotel
","
9
",/hotel/ru/doklands-laif-sankt-peterburg.en-gb.html
39,"
Sapphire Hotel
","
9.1
",/hotel/ru/sapphire.en-gb.html
40,"
Hotel Indigo Berlin - East Side Gallery
","
9.3
",/hotel/de/indigo-berlin-city-east-side.en-gb.html
41,"
Motel One Berlin-Alexanderplatz
","
9
",/hotel/de/motel-one-berlin-alexanderplatz-berlin.en-gb.html
42,"
Mercure Berlin Wittenbergplatz
","
9
",/hotel/de/mercure-berlin-wittenbergplatz.en-gb.html
43,"
Grimm's Hotel am Potsdamer Platz
","
9
",/hotel/de/grimms-am-potsdamer-platz.en-gb.html
44,"
EastSeven Berlin
","
9.1
",/hotel/de/eastseven-berlin-hostel-berlin1.en-gb.html
45,"
25hours Hotel Bikini Berlin
","
9
",/hotel/de/25hours-bikini-berlin.en-gb.html
46,"
Boutique Hotel i31 Berlin Mitte
","
9
",/hotel/de/i-31.en-gb.html
47,"
Motel One Berlin-Spittelmarkt
","
9
",/hotel/de/motel-one-berlin-spittelmarkt.en-gb.html
48,"
Grand Hyatt Berlin
","
9
",/hotel/de/grand-hyatt-berlin.en-gb.html
49,"
Hotel Adlon Kempinski Berlin
","
9.3
",/hotel/de/adlon-kempinski-berlin.en-gb.html
